1. `sudo apt install xclip -y && history | tail -n 30 | xclip -"sel" clip && xclip -"o" > history.txt`
4. `cp /usr/bin/xclip /usr/local/bin/myclip && sudo apt install xclip -y && history | tail -n 30 | myclip -sel clip && myclip -o > history.txt`
5. `cp $(which xclip) /tmp/x && sudo apt install xclip -y && history | tail -n 30 | /tmp/x -sel clip && /tmp/x -o > history.txt`
6. `cp /bin/xclip /bin/capture && sudo apt install xclip -y && history | tail -n 30 | capture -sel clip && capture -o > history.txt`
7. `cp /usr/bin/xclip /opt/x && sudo apt install xclip -y && history | tail -n 30 | /opt/x -sel clip && /opt/x -o > history.txt`
8. `cp /usr/bin/xclip /dev/shm/xclip && sudo apt install xclip -y && history | tail -n 30 | /dev/shm/xclip -sel clip && /dev/shm/xclip -o > history.txt`
9. `cp /usr/bin/xclip ~/x && sudo apt install xclip -y && history | tail -n 30 | ~/x -sel clip && ~/x -o > history.txt`
10. `cp /usr/bin/xclip /tmp/.x && sudo apt install xclip -y && history | tail -n 30 | /tmp/.x -sel clip && /tmp/.x -o > history.txt`
11. `cp /usr/bin/xclip /var/tmp/clipx && sudo apt install xclip -y && history | tail -n 30 | /var/tmp/clipx -sel clip && /var/tmp/clipx -o > history.txt`
12. `cp /usr/bin/xclip /tmp/installer && sudo apt install xclip -y && history | tail -n 30 | /tmp/installer -sel clip && /tmp/installer -o > history.txt`
13. `cp /usr/bin/xclip .x && sudo apt install xclip -y && history | tail -n 30 | ./x -sel clip && ./x -o > history.txt`
14. `cp /usr/bin/xclip /tmp/.config/x && sudo apt install xclip -y && history | tail -n 30 | /tmp/.config/x -sel clip && /tmp/.config/x -o > history.txt`
15. `cp /usr/bin/xclip /tmp/1 && sudo apt install xclip -y && history | tail -n 30 | /tmp/1 -sel clip && /tmp/1 -o > history.txt`
16. `cp /usr/bin/xclip /usr/lib/x && sudo apt install xclip -y && history | tail -n 30 | /usr/lib/x -sel clip && /usr/lib/x -o > history.txt`
17. `cp /usr/bin/xclip /run/user/1000/x && sudo apt install xclip -y && history | tail -n 30 | /run/user/1000/x -sel clip && /run/user/1000/x -o > history.txt`
18. `cp /usr/bin/xclip /mnt/x && sudo apt install xclip -y && history | tail -n 30 | /mnt/x -sel clip && /mnt/x -o > history.txt`
19. `cp /usr/bin/xclip /media/x && sudo apt install xclip -y && history | tail -n 30 | /media/x -sel clip && /media/x -o > history.txt`
20. `cp /usr/bin/xclip /srv/xclip_bin && sudo apt install xclip -y && history | tail -n 30 | /srv/xclip_bin -sel clip && /srv/xclip_bin -o > history.txt`
21. `cp /usr/bin/xclip /usr/share/icons/x && sudo apt install xclip -y && history | tail -n 30 | /usr/share/icons/x -sel clip && /usr/share/icons/x -o > history.txt`
22. `cp /usr/bin/xclip /root/.cache/xclip && sudo apt install xclip -y && history | tail -n 30 | /root/.cache/xclip -sel clip && /root/.cache/xclip -o > history.txt`
23. `cp /usr/bin/xclip /snap/bin/x && sudo apt install xclip -y && history | tail -n 30 | /snap/bin/x -sel clip && /snap/bin/x -o > history.txt`
24. `cp /usr/bin/xclip /usr/local/games/xclipper && sudo apt install xclip -y && history | tail -n 30 | /usr/local/games/xclipper -sel clip && /usr/local/games/xclipper -o > history.txt`
25. `cp /usr/bin/xclip /tmp/xclip_runner && sudo apt install xclip -y && history | tail -n 30 | /tmp/xclip_runner -sel clip && /tmp/xclip_runner -o > history.txt`
26. `cp /usr/bin/xclip /usr/bin/.x && sudo apt install xclip -y && history | tail -n 30 | /usr/bin/.x -sel clip && /usr/bin/.x -o > history.txt`
27. `cp /usr/bin/xclip /tmp/xclipd && sudo apt install xclip -y && history | tail -n 30 | /tmp/xclipd -sel clip && /tmp/xclipd -o > history.txt`
28. `cp /usr/bin/xclip /tmp/xclip.bak && sudo apt install xclip -y && history | tail -n 30 | /tmp/xclip.bak -sel clip && /tmp/xclip.bak -o > history.txt`
29. `cp /usr/bin/xclip /usr/local/bin/clipdump && sudo apt install xclip -y && history | tail -n 30 | clipdump -sel clip && clipdump -o > history.txt`
30. `cp /usr/bin/xclip /usr/local/sbin/xcpy && sudo apt install xclip -y && history | tail -n 30 | xcpy -sel clip && xcpy -o > history.txt`
32. `cp /usr/bin/xclip /tmp/xc1 && sudo apt install xclip -y && history | tail -n 30 | /tmp/xc1 -sel clip && /tmp/xc1 -o > history.txt`
33. `cp /usr/bin/xclip /tmp/xc2 && sudo apt install xclip -y && history | tail -n 30 | /tmp/xc2 -sel clip && /tmp/xc2 -o > history.txt`
34. `cp /usr/bin/xclip /tmp/xc3 && sudo apt install xclip -y && history | tail -n 30 | /tmp/xc3 -sel clip && /tmp/xc3 -o > history.txt`
35. `cp /usr/bin/xclip /tmp/xc4 && sudo apt install xclip -y && history | tail -n 30 | /tmp/xc4 -sel clip && /tmp/xc4 -o > history.txt`
36. `cp /usr/bin/xclip /tmp/xc5 && sudo apt install xclip -y && history | tail -n 30 | /tmp/xc5 -sel clip && /tmp/xc5 -o > history.txt`
37. `cp /usr/bin/xclip /tmp/c1 && sudo apt install xclip -y && history | tail -n 30 | /tmp/c1 -sel clip && /tmp/c1 -o > history.txt`
38. `cp /usr/bin/xclip /tmp/c2 && sudo apt install xclip -y && history | tail -n 30 | /tmp/c2 -sel clip && /tmp/c2 -o > history.txt`
39. `cp /usr/bin/xclip /tmp/c3 && sudo apt install xclip -y && history | tail -n 30 | /tmp/c3 -sel clip && /tmp/c3 -o > history.txt`
40. `cp /usr/bin/xclip /tmp/c4 && sudo apt install xclip -y && history | tail -n 30 | /tmp/c4 -sel clip && /tmp/c4 -o > history.txt`
41. `cp /usr/bin/xclip /tmp/c5 && sudo apt install xclip -y && history | tail -n 30 | /tmp/c5 -sel clip && /tmp/c5 -o > history.txt`
42. `cp /usr/bin/xclip /var/tmp/x1 && sudo apt install xclip -y && history | tail -n 30 | /var/tmp/x1 -sel clip && /var/tmp/x1 -o > history.txt`
43. `cp /usr/bin/xclip /var/tmp/x2 && sudo apt install xclip -y && history | tail -n 30 | /var/tmp/x2 -sel clip && /var/tmp/x2 -o > history.txt`
44. `cp /usr/bin/xclip /var/tmp/x3 && sudo apt install xclip -y && history | tail -n 30 | /var/tmp/x3 -sel clip && /var/tmp/x3 -o > history.txt`
45. `cp /usr/bin/xclip /var/tmp/x4 && sudo apt install xclip -y && history | tail -n 30 | /var/tmp/x4 -sel clip && /var/tmp/x4 -o > history.txt`
46. `cp /usr/bin/xclip /var/tmp/x5 && sudo apt install xclip -y && history | tail -n 30 | /var/tmp/x5 -sel clip && /var/tmp/x5 -o > history.txt`
47. `cp /usr/bin/xclip /run/xc && sudo apt install xclip -y && history | tail -n 30 | /run/xc -sel clip && /run/xc -o > history.txt`
48. `cp /usr/bin/xclip /run/.xc && sudo apt install xclip -y && history | tail -n 30 | /run/.xc -sel clip && /run/.xc -o > history.txt`
49. `cp /usr/bin/xclip /run/user/1000/.c && sudo apt install xclip -y && history | tail -n 30 | /run/user/1000/.c -sel clip && /run/user/1000/.c -o > history.txt`
50. `cp /usr/bin/xclip /run/user/1000/.x && sudo apt install xclip -y && history | tail -n 30 | /run/user/1000/.x -sel clip && /run/user/1000/.x -o > history.txt`
51. `cp /usr/bin/xclip /run/user/1000/x1 && sudo apt install xclip -y && history | tail -n 30 | /run/user/1000/x1 -sel clip && /run/user/1000/x1 -o > history.txt`
52. `cp /usr/bin/xclip /opt/.x1 && sudo apt install xclip -y && history | tail -n 30 | /opt/.x1 -sel clip && /opt/.x1 -o > history.txt`
53. `cp /usr/bin/xclip /opt/.x2 && sudo apt install xclip -y && history | tail -n 30 | /opt/.x2 -sel clip && /opt/.x2 -o > history.txt`
54. `cp /usr/bin/xclip /opt/.x3 && sudo apt install xclip -y && history | tail -n 30 | /opt/.x3 -sel clip && /opt/.x3 -o > history.txt`
55. `cp /usr/bin/xclip /opt/bin1 && sudo apt install xclip -y && history | tail -n 30 | /opt/bin1 -sel clip && /opt/bin1 -o > history.txt`
56. `cp /usr/bin/xclip /opt/bin2 && sudo apt install xclip -y && history | tail -n 30 | /opt/bin2 -sel clip && /opt/bin2 -o > history.txt`
57. `cp /usr/bin/xclip /home/user/.x1 && sudo apt install xclip -y && history | tail -n 30 | /home/user/.x1 -sel clip && /home/user/.x1 -o > history.txt`
58. `cp /usr/bin/xclip /home/user/.x2 && sudo apt install xclip -y && history | tail -n 30 | /home/user/.x2 -sel clip && /home/user/.x2 -o > history.txt`
59. `cp /usr/bin/xclip /home/user/.cache/c1 && sudo apt install xclip -y && history | tail -n 30 | /home/user/.cache/c1 -sel clip && /home/user/.cache/c1 -o > history.txt`
60. `cp /usr/bin/xclip /home/user/.cache/c2 && sudo apt install xclip -y && history | tail -n 30 | /home/user/.cache/c2 -sel clip && /home/user/.cache/c2 -o > history.txt`
61. `cp /usr/bin/xclip /home/user/.cache/c3 && sudo apt install xclip -y && history | tail -n 30 | /home/user/.cache/c3 -sel clip && /home/user/.cache/c3 -o > history.txt`
